route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,trip_id_event
30-13183,JUNE24-D13CAR-3_Sunday,70030008210806-JUNE24,,0,0305300,300821_JUNE24,59962459-JUNE24-D13CAR-3_Sunday
30-13183,JUNE24-D07CAR-3_Sunday,70030008201641-JUNE24,,1,0300400,300820_JUNE24,59962460-JUNE24-D07CAR-3_Sunday
30-13183,JUNE24-D13CAR-3_Sunday,70030008201555-JUNE24,,1,0305300,300820_JUNE24,59962461-JUNE24-D13CAR-3_Sunday
30-13183,JUNE24-D13CAR-3_Sunday,70030008201027-JUNE24,,1,0305500,300820_JUNE24,59962462-JUNE24-D13CAR-3_Sunday
30-13183,JUNE24-D13CAR-3_Sunday,70030008211908-JUNE24,,0,0305400,300821_JUNE24,59962463-JUNE24-D13CAR-3_Sunday
30-13183,JUNE24-D07CAR-3_Sunday,70030008210618-JUNE24,,0,0300300,300821_JUNE24,59962464-JUNE24-D07CAR-3_Sunday
30-13183,JUNE24-D07CAR-3_Sunday,70030008200745-JUNE24,,1,0300400,300820_JUNE24,59962465-JUNE24-D07CAR-3_Sunday
30-13183,JUNE24-D13CAR-3_Sunday,70030008200730-JUNE24,,1,0305100,300820_JUNE24,59962466-JUNE24-D13CAR-3_Sunday
30-13183,JUNE24-D07CAR-3_Sunday,70030008201827-JUNE24,,1,0300300,300820_JUNE24,59962467-JUNE24-D07CAR-3_Sunday
30-13183,JUNE24-D07CAR-3_Sunday,70030008210707-JUNE24,,0,0300200,300821_JUNE24,59962468-JUNE24-D07CAR-3_Sunday
30-13183,JUNE24-D13CAR-3_Sunday,70030008201111-JUNE24,,1,0305400,300820_JUNE24,59962469-JUNE24-D13CAR-3_Sunday
30-13183,JUNE24-D13CAR-3_Sunday,70030008201155-JUNE24,,1,0305100,300820_JUNE24,59962470-JUNE24-D13CAR-3_Sunday
30-13183,JUNE24-D13CAR-3_Sunday,70030008202031-JUNE24,,1,0309911,300820_JUNE24,59962471-JUNE24-D13CAR-3_Sunday
30-13183,JUNE24-D13CAR-3_Sunday,70030008201125-JUNE24,,1,0305300,300820_JUNE24,59962472-JUNE24-D13CAR-3_Sunday
30-13183,JUNE24-D07CAR-3_Sunday,70030008201310-JUNE24,,1,0300100,300820_JUNE24,59962473-JUNE24-D07CAR-3_Sunday
30-13183,JUNE24-D07CAR-3_Sunday,70030008201225-JUNE24,,1,0300200,300820_JUNE24,59962474-JUNE24-D07CAR-3_Sunday
30-13183,JUNE24-D07CAR-3_Sunday,70030008201355-JUNE24,,1,0300300,300820_JUNE24,59962475-JUNE24-D07CAR-3_Sunday
30-13183,JUNE24-D13CAR-3_Sunday,70030008201240-JUNE24,,1,0305500,300820_JUNE24,59962476-JUNE24-D13CAR-3_Sunday
30-13183,JUNE24-D13CAR-3_Sunday,70030008201255-JUNE24,,1,0305200,300820_JUNE24,59962477-JUNE24-D13CAR-3_Sunday
30-13183,JUNE24-D07CAR-3_Sunday,70030008201140-JUNE24,,1,0300300,300820_JUNE24,59962478-JUNE24-D07CAR-3_Sunday
30-13183,JUNE24-D13CAR-3_Sunday,70030008201325-JUNE24,,1,0305400,300820_JUNE24,59962479-JUNE24-D13CAR-3_Sunday
